24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,3
21/03/2020,6
22/03/2020,5
23/03/2020,7
24/03/2020,9
25/03/2020,21
26/03/2020,26
27/03/2020,26
28/03/2020,29
29/03/2020,27
30/03/2020,30
31/03/2020,32
01/04/2020,33
02/04/2020,40
03/04/2020,45
04/04/2020,43
05/04/2020,43
06/04/2020,41
07/04/2020,41
08/04/2020,43
09/04/2020,39
10/04/2020,38
11/04/2020,40
12/04/2020,40
13/04/2020,42
14/04/2020,43
15/04/2020,44
16/04/2020,41
17/04/2020,39
18/04/2020,40
19/04/2020,39
20/04/2020,39
21/04/2020,38
22/04/2020,35
23/04/2020,30
24/04/2020,30
25/04/2020,28
26/04/2020,25
27/04/2020,25
28/04/2020,25
29/04/2020,27
30/04/2020,27
01/05/2020,28
02/05/2020,27
03/05/2020,26
04/05/2020,25
05/05/2020,23
06/05/2020,24
07/05/2020,19
08/05/2020,18
09/05/2020,17
10/05/2020,21
11/05/2020,23
12/05/2020,23
13/05/2020,12
14/05/2020,12
15/05/2020,16
16/05/2020,14
17/05/2020,9
18/05/2020,11
19/05/2020,7
20/05/2020,7
21/05/2020,6
22/05/2020,9
23/05/2020,8
24/05/2020,5
25/05/2020,6
26/05/2020,5
27/05/2020,5
28/05/2020,5
29/05/2020,4
30/05/2020,4
31/05/2020,4
01/06/2020,4
02/06/2020,2
03/06/2020,3
04/06/2020,1
05/06/2020,1
06/06/2020,1
07/06/2020,2
08/06/2020,2
09/06/2020,1
10/06/2020,1
11/06/2020,0
12/06/2020,0
13/06/2020,1
14/06/2020,1
15/06/2020,2
16/06/2020,1
17/06/2020,2
18/06/2020,2
19/06/2020,1
20/06/2020,1
21/06/2020,2
22/06/2020,1
23/06/2020,0
24/06/2020,0
25/06/2020,1
26/06/2020,1
27/06/2020,1
28/06/2020,2
29/06/2020,2
30/06/2020,2
01/07/2020,2
02/07/2020,3
03/07/2020,3
04/07/2020,3
05/07/2020,3
06/07/2020,3
07/07/2020,1
08/07/2020,2
09/07/2020,3
10/07/2020,2
11/07/2020,3
12/07/2020,4
13/07/2020,3
14/07/2020,4
15/07/2020,5
16/07/2020,4
17/07/2020,6
18/07/2020,6
19/07/2020,7
20/07/2020,5
21/07/2020,5
22/07/2020,1
23/07/2020,3
24/07/2020,4
25/07/2020,4
26/07/2020,6
27/07/2020,5
28/07/2020,4
29/07/2020,6
30/07/2020,7
31/07/2020,6
01/08/2020,6
02/08/2020,7
03/08/2020,7
04/08/2020,5
05/08/2020,9
06/08/2020,6
07/08/2020,8
08/08/2020,8
09/08/2020,6
10/08/2020,4
11/08/2020,3
12/08/2020,1
13/08/2020,3
14/08/2020,4
15/08/2020,3
16/08/2020,3
17/08/2020,4
18/08/2020,3
19/08/2020,3
20/08/2020,3
21/08/2020,1
22/08/2020,1
23/08/2020,1
24/08/2020,1
25/08/2020,2
26/08/2020,2
27/08/2020,2
28/08/2020,4
29/08/2020,3
30/08/2020,2
31/08/2020,2
01/09/2020,1
02/09/2020,2
03/09/2020,0
04/09/2020,0
05/09/2020,0
06/09/2020,0
07/09/2020,0
08/09/2020,0
09/09/2020,0
10/09/2020,1
